"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","negLogP","PointSize","Significance"
"mphosph6",645.635976928002,-0.290056749527846,0.465390588824709,-0.623254437225196,0.533117333823515,0.841746661119227,"mphosph6",0.273177196556786,0.136588598278393,"No significativo"
"ech1",299.689907599845,0.725795879304148,0.424744362942612,1.70878284122681,0.0874911822745975,0.414881981138567,"ech1",1.05803571477717,0.529017857388585,"No significativo"
"aebp1",221.620073687977,0.373753856539812,0.674507801752392,0.554113466988503,0.579501194211885,0.863559113392345,"aebp1",0.236945664723513,0.118472832361756,"No significativo"
"aebp2",1286.7104132899,-0.10021911034569,0.236595929825998,-0.42358763491576,0.671866574648864,0.901815131671001,"aebp2",0.172716964516225,0.0863584822581125,"No significativo"
"zgc:162858",3077.90769979048,0.112323201094145,0.266016584502703,0.422241347486379,0.672848864356387,0.902173416545897,"zgc:162858",0.172082476262261,0.0860412381311304,"No significativo"
"homer2",527.452464564985,-0.777710306477952,0.455663735589026,-1.70676366306093,0.0878659888491073,0.415499753217067,"homer2",1.0561791990279,0.52808959951395,"No significativo"
"man1a2",2505.57689804527,-0.612540870725774,0.263212094797289,-2.32717600305381,0.0199558996742453,0.196274084234674,"man1a2",1.6999286880878,0.849964344043898,"No significativo"
"csf2rb",3.21471423101865,2.12013215165844,4.64214823242177,0.456713582916413,0.64787692657129,NA,"csf2rb",0.188507486702617,0.0942537433513084,"No significativo"
"mtmr7a",369.902348057505,1.20704346996328,1.10887191574319,1.08853281684412,0.276359957325615,0.679962570588219,"mtmr7a",0.558524883050133,0.279262441525067,"No significativo"
"zbtb11",2018.22196600361,0.335700644858767,0.604227816793475,0.555586213558106,0.578493758216821,0.863559113392345,"zbtb11",0.237701322600937,0.118850661300469,"No significativo"
"zbtb10",1030.94064191209,-0.19069727860098,0.407570132785159,-0.467888255937296,0.639864502335438,0.889702918037053,"zbtb10",0.193911982450786,0.0969559912253931,"No significativo"
"aqp9a",340.079780689914,-0.68483926032636,0.500623928800541,-1.36797148703456,0.171321001274766,0.557472097034144,"aqp9a",0.766189396061395,0.383094698030698,"No significativo"
"aqp9b",2.70020375330872,-4.64499096109999,4.72111396745059,-0.983876049831582,0.325176460914114,NA,"aqp9b",0.487880899932555,0.243940449966277,"No significativo"
"zbtb14",2414.63596022391,0.0978977535662465,0.216033400068849,0.45316026843556,0.650433339948114,0.892171128573982,"zbtb14",0.186797205752865,0.0933986028764323,"No significativo"
"ugt8",80.0856321511834,-0.514252696483582,1.49827366267557,-0.343230151670186,0.731425323154151,NA,"ugt8",0.135830007744583,0.0679150038722914,"No significativo"
"zbtb18",12357.5473203078,-1.00538869539894,0.362485157457187,-2.7735996211588,0.00554398630457124,0.0916049015122718,"zbtb18",2.25617785124194,1.12808892562097,"Negativo"
"srp68",1117.30799349577,-0.0538007649947017,0.3180174262858,-0.169175524822817,0.865658580652127,0.962109272314865,"srp68",0.0626533617648646,0.0313266808824323,"No significativo"
"appb",8254.50745399753,1.11803535709531,0.384836249794845,2.90522360534208,0.00366990817188267,0.0712042842667698,"appb",2.43534480249003,1.21767240124501,"Positivo"
"mgme1",115.598441424677,0.937368038559227,1.05285035649241,0.890314594831959,0.373296986517071,NA,"mgme1",0.427945515951782,0.213972757975891,"No significativo"
"mtmr7b",1085.0897758545,-1.27426802603774,0.542873309852167,-2.34726593279147,0.0189117514604645,0.191240483268019,"mtmr7b",1.72326824828922,0.861634124144609,"Negativo"
"nol4lb",173.796013723959,-1.08485919418047,1.09228367714707,-0.993202788687651,0.320611139619793,0.71025629151175,"nol4lb",0.494021392177258,0.247010696088629,"No significativo"
"abi2a",3912.6433933203,-0.894443166083268,0.347550159411733,-2.57356569076881,0.0100656536790388,0.130483980438406,"abi2a",1.99715801610755,0.998579008053774,"No significativo"
"tpte",188.956184179981,1.02378129431454,1.05548930232739,0.969958948951036,0.332066954647585,0.719747878585952,"tpte",0.47877434068667,0.239387170343335,"No significativo"
"faub",103.291065783888,0.298319523085084,1.77384762820698,0.168176521106623,0.866444411297372,NA,"faub",0.0622592952019154,0.0311296476009577,"No significativo"
"abi2b",3149.36247458432,-0.214249797366318,0.212560747510124,-1.00794619832674,0.313480291501703,0.70753800672743,"abi2b",0.503789758058504,0.251894879029252,"No significativo"
"scinla",59.6991976202294,-0.378122023542736,1.45840288222454,-0.259271308464487,0.795425915209706,NA,"scinla",0.0994002636778888,0.0497001318389444,"No significativo"
"ubald1a",1964.10692629327,-0.843016968932587,0.222325386250984,-3.79181605460431,0.000149549669063526,0.00874320846683976,"ubald1a",3.82521454367608,1.91260727183804,"No significativo"
"nupr1b",618.035224086702,0.84690421152787,1.73712768881956,0.487531352461127,0.625881830103533,0.884365452741424,"nupr1b",0.203507656212024,0.101753828106012,"No significativo"
"rnft2",1305.22777772632,-0.374739949973152,0.315369639280964,-1.18825626597269,0.234732462227138,0.63293163608466,"rnft2",0.629426845675283,0.314713422837641,"No significativo"
"mtss1",716.784644817915,0.0474222318641198,0.304718353484108,0.155626437731435,0.876327484548325,0.96582010406899,"mtss1",0.0573335671719132,0.0286667835859566,"No significativo"
"optc",1.68494788845876,0,4.85660611198795,0,1,NA,"optc",0,0,"No significativo"
"rdh12",2020.05257512621,-0.117467156371332,0.337079821459392,-0.348484687878247,0.727476211324789,0.924583932274005,"rdh12",0.13818120366067,0.0690906018303348,"No significativo"
"szrd1",503.286648808011,-0.279567847898996,0.438518909312789,-0.637527463381481,0.523781326958132,0.838823840018651,"szrd1",0.280849988430064,0.140424994215032,"No significativo"
"abraxas2",179.772612266388,0.172841345655511,0.411720163209502,0.41980296594695,0.674629398021121,0.903052058488318,"abraxas2",0.170934737679625,0.0854673688398125,"No significativo"
"abraxas1",66.3343816699223,0.270651932874785,0.802720131095831,0.337168487982612,0.735989890819869,NA,"abraxas1",0.133128150868071,0.0665640754340354,"No significativo"
"lenep",252.390267815413,0.0704474185314521,0.537698324837296,0.131016622662473,0.895762157769527,0.973907007360925,"lenep",0.047807288641745,0.0239036443208725,"No significativo"
"si:ch211-155e24.3",472.943627884233,-1.37609717142076,0.414780432924282,-3.3176520929857,0.000907774778464037,0.0289308149613015,"si:ch211-155e24.3",3.04202188782588,1.52101094391294,"Negativo"
"mppe1",307.555372007962,-0.374767630258919,0.906882352014225,-0.413248344095067,0.679424671707751,0.905143478342403,"mppe1",0.167858686797766,0.0839293433988829,"No significativo"
"hp",12.7193270194768,1.88992922203932,2.53569126859524,0.745330965739504,0.456071665807803,NA,"hp",0.340966908170284,0.170483454085142,"No significativo"
"tsen2",464.528085533115,0.948066708282854,0.346543014470841,2.73578363635613,0.00622319289621641,0.0962758169720802,"tsen2",2.20598673726653,1.10299336863327,"No significativo"
"cyp2k6",4.50384736033435,0.229205406204266,4.59103642967694,0.0499245452993267,0.96018251736917,NA,"cyp2k6",0.0176462057603336,0.00882310288016678,"No significativo"
"kmt5b",1826.94481955847,-0.342087383890716,0.259301817738678,-1.31926334675937,0.187081087007443,0.578192409749336,"kmt5b",0.727970115351288,0.363985057675644,"No significativo"
