"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","negLogP","PointSize","Significance"
"slc6a3",305.501159475094,-0.238351961994656,0.706551847546693,-0.337345324086643,0.735856596332195,0.861427004960756,"slc6a3",0.13320681268658,0.0666034063432901,"No significativo"
"slc6a7",10.8443940146546,-6.99029257284602,3.41116540629643,-2.04923882024106,0.040438767781422,0.122479150811986,"slc6a7",1.393202086362,0.696601043180999,"Negativo"
"slc6a5",6.12913045329625,-5.67505199855803,2.82216578400284,-2.01088540961218,0.0443375618227988,0.131157808481338,"slc6a5",1.35322819295402,0.67661409647701,"Negativo"
"ltv1",1166.8308651965,0.392865868659853,0.260412774478114,1.50862748360631,0.131394006615773,0.290448779935405,"ltv1",0.881424444160263,0.440712222080131,"No significativo"
"slc6a9",41.4541666181278,-2.02084137829813,1.43424638528083,-1.4089917876296,0.15883759649236,0.331299736571648,"slc6a9",0.799046693240002,0.399523346620001,"No significativo"
"slc6a8",533.104816735995,-2.04732635690652,0.539091270851422,-3.79773605622113,0.000146023692063729,0.00136525161148131,"slc6a8",3.83557667505265,1.91778833752633,"Negativo"
"kti12",53.6053791190254,1.78259960320728,2.23474016993234,0.797676449008049,0.425058274129014,0.620659839475007,"kti12",0.371551525484378,0.185775762742189,"No significativo"
"spire2",497.052802441023,-0.558513748772408,0.441290920409846,-1.26563616639493,0.205643371581944,0.393697110759007,"spire2",0.686885284364282,0.343442642182141,"No significativo"
"rassf8b",1087.22764534415,-0.308214769657036,0.277461850350956,-1.11083656822436,0.266638702946343,0.466876435236579,"rassf8b",0.574076811951096,0.287038405975548,"No significativo"
"ergic1",214.856226334098,-2.39688350496879,0.929349322529859,-2.5790985659128,0.00990585175120542,0.0424021832550808,"ergic1",2.00410817586045,1.00205408793022,"Negativo"
"fam222a",2195.56214431038,-0.0569702010286138,0.341489103863747,-0.166828752027604,0.867504794864672,0.937500292482114,"fam222a",0.0617281161019144,0.0308640580509572,"No significativo"
"sec31a",297.43777808506,0.290514950642173,0.676216978591899,0.42961794784733,0.667473579141646,0.81327371464339,"sec31a",0.175565920465388,0.0877829602326942,"No significativo"
"parvb",1478.87058188148,0.505586805295386,0.329200757344785,1.53580085712216,0.124587229454797,0.280114310742636,"parvb",0.90452647181451,0.452263235907255,"No significativo"
"arfip1",35.4076378348303,-0.234821251230583,1.67281174666537,-0.140375180709175,0.888363566595509,0.948040753281575,"arfip1",0.0514092609643835,0.0257046304821918,"No significativo"
"si:dkeyp-51f12.3",29.4397890721559,-8.85038945128725,2.14543410774186,-4.12522082097529,3.703792184711e-05,0.000432908697928009,"si:dkeyp-51f12.3",4.43135338904335,2.21567669452167,"Negativo"
"uxs1",2959.75272860502,0.211200438117049,0.155365205959968,1.3593805434884,0.174026033230634,0.352883908539522,"uxs1",0.759385779058162,0.379692889529081,"No significativo"
"msx1b",56.9671484863978,0.880448877561052,1.54826383102254,0.568668504630484,0.569581125517021,0.742397940725776,"msx1b",0.244444410557332,0.122222205278666,"No significativo"
"fam151a",221.354798104162,-1.3092239366222,0.618427414114797,-2.1170211842827,0.0342580499258505,0.108411813497345,"fam151a",1.46523736205195,0.732618681025976,"Negativo"
"fam214a",3594.61055698809,-0.295407744019331,0.355704201605259,-0.830487080799676,0.406263449217708,0.604925828950679,"fam214a",0.391192248599274,0.195596124299637,"No significativo"
"eefsec",1039.72131346041,0.608538769873735,0.264910317804426,2.29715012581352,0.0216102071209583,0.0770938727944574,"eefsec",1.66534107064299,0.832670535321493,"No significativo"
"nfkb2",186.412235077674,2.49971452370115,1.10175399508241,2.26884997454823,0.0232774507360499,0.0816218382674703,"nfkb2",1.63306458381119,0.816532291905593,"Positivo"
"tsc2",8206.74418402708,0.999093567554799,0.365533543126607,2.73324729382975,0.00627132268723331,0.0298356248055195,"tsc2",2.20264085228169,1.10132042614085,"No significativo"
"ponzr6",17.3359281601426,1.68033244301312,1.93887601075492,0.866652861602466,0.386132240511128,0.587522105593508,"ponzr6",0.413263934994678,0.206631967497339,"No significativo"
"ponzr5",10.3270675119186,-2.67996678958062,3.80854005621215,-0.703672995432804,0.481636441335557,0.670637278649949,"ponzr5",0.317280661135176,0.158640330567588,"No significativo"
"ponzr4",4.21166336109803,-4.05365230102167,4.72994063833914,-0.857019698759911,0.391433998036189,0.591962839765509,"ponzr4",0.407341456352317,0.203670728176159,"No significativo"
"ponzr3",3.70435227746413,-4.98610034757618,4.72129962947026,-1.05608640393273,0.290928741415588,0.492537879885427,"ponzr3",0.536213371837851,0.268106685918926,"No significativo"
"siah1",1249.10393582495,0.0253841584136481,0.216011103584982,0.117513211091306,0.906453375641379,0.957456410122216,"siah1",0.0426545293758842,0.0213272646879421,"No significativo"
"ponzr1",141.705497029265,-0.123974068606494,0.87110231989607,-0.142318606867314,0.886828349966832,0.947104808758093,"ponzr1",0.052160431888901,0.0260802159444505,"No significativo"
"glod4",142.816513686563,5.01688401594006,1.63537802060104,3.06772131748246,0.00215697670822454,0.0126244712022979,"glod4",2.66615454453314,1.33307727226657,"Positivo"
"slc5a12",53.2276945322797,0.667426159283298,1.36866617849626,0.487647148566638,0.625799793302331,0.782200656718594,"slc5a12",0.203564584634491,0.101782292317246,"No significativo"
"pam16",567.981413491076,0.281436586727963,0.372479501362637,0.75557604028782,0.449903425690081,0.643160421072586,"pam16",0.346880699982611,0.173440349991306,"No significativo"
"ric8b",832.381948849289,-0.12046191182646,0.443913710167698,-0.271363350730829,0.786111586709453,0.892394558929165,"ric8b",0.104515802494297,0.0522579012471483,"No significativo"
"slc16a12b",94.337123732145,0.389269962891654,1.55340897366267,0.250590777761392,0.80213051254874,0.902462583777956,"slc16a12b",0.0957549630521354,0.0478774815260677,"No significativo"
"fabp7b",181.10523501703,1.57819452992436,0.616098967304629,2.56159255846313,0.0104193473545,0.0439606815595876,"fabp7b",1.98215948345647,0.991079741728236,"Positivo"
"fabp7a",18675.3144068774,-0.279179300930222,0.206786223066997,-1.35008656181012,0.176988218354874,0.356903387281469,"fabp7a",0.752055642529521,0.37602782126476,"No significativo"
"rpn1",4807.13626466381,0.153376849558233,0.164296096447101,0.933539218977221,0.350541630876163,0.553949909388076,"rpn1",0.455260397137711,0.227630198568856,"No significativo"
"rpn2",480.51090234217,-1.52004330400786,0.490664313485653,-3.09792919972017,0.00194877979676554,0.0116556493810082,"rpn2",2.71023723140699,1.35511861570349,"Negativo"
"armc1l",146.061644211634,0.55895147329938,0.674811048573761,0.82830812340839,0.407496023501502,0.60593834123962,"armc1l",0.389876624911198,0.194938312455599,"No significativo"
"znf330",1906.0256599612,-0.14354863659607,0.237429819591045,-0.604593967359793,0.545448816004838,0.72487189279183,"znf330",0.263245996623926,0.131622998311963,"No significativo"
"mtx1b",181.367868835262,-1.02716881608765,0.577276520261572,-1.77933586424444,0.0751847144623092,0.193945885768497,"mtx1b",1.12387044530521,0.561935222652607,"No significativo"
"trip10a",925.887718547957,0.120518938786002,0.299904513049677,0.401857703175141,0.687788752591214,0.82903382013733,"trip10a",0.162544930473167,0.0812724652365833,"No significativo"
"si:dkey-6n6.1",599.48308328313,0.77519545803965,0.532582126713566,1.45554163227968,0.145519373339678,0.311893067007529,"si:dkey-6n6.1",0.837079184173447,0.418539592086724,"No significativo"
"cyp26b1",2313.40189859164,-0.900285195049016,0.324989548416076,-2.7701973784597,0.00560223323151324,0.0273050870682505,"cyp26b1",2.25163881463942,1.12581940731971,"No significativo"
"si:dkey-37o8.1",38.7050869137177,1.65236688008268,1.53958293654807,1.07325616623648,0.283156196467862,0.484655779962021,"si:dkey-37o8.1",0.547973930020662,0.273986965010331,"No significativo"
"zgc:110843",99.1783931632273,-1.54939629024808,1.40951301696657,-1.09924227133606,0.27166240516593,0.471586699972786,"zgc:110843",0.565970458596019,0.28298522929801,"No significativo"
"cntfr",840.566901063546,-0.666429723338816,0.318934880664368,-2.0895479414186,0.0366584271078754,0.113957696579029,"cntfr",1.43582617311698,0.71791308655849,"No significativo"
"hspb15",87.4247784081594,-1.0966529612063,1.67533304984169,-0.65458803030832,0.512733032720356,0.698520584644598,"hspb15",0.290108702325455,0.145054351162728,"No significativo"
"hspb6",238.012220256315,-1.22327248538585,0.406306555919915,-3.01071313657798,0.00260634957153479,0.0146498926290379,"hspb6",2.5839673358195,1.29198366790975,"Negativo"
"hspb7",20.9618728606117,-0.204021163606798,2.65177770657586,-0.0769375061495041,0.938673260367525,0.975427453287866,"hspb7",0.0274855535416614,0.0137427767708307,"No significativo"
"hspb2",20.5142899408743,2.27177405835842,1.20252819151058,1.88916490639999,0.0588697354933364,0.161583429490636,"hspb2",1.23010791550501,0.615053957752506,"No significativo"
"hspb3",62.0579572113413,-0.380549692366713,0.770614963817471,-0.493825983447748,0.621429081086774,0.778923126487866,"hspb3",0.206608426877647,0.103304213438824,"No significativo"
"fxyd1",2950.38000077023,-1.04897191942798,0.347034364538584,-3.02267448591926,0.00250551593421971,0.0142308678848778,"fxyd1",2.60110283094917,1.30055141547458,"Negativo"
"etsrp",132.443128882448,0.425142583421532,0.677630076003336,0.627396271914352,0.530399510900572,0.713433719937747,"etsrp",0.275396885080811,0.137698442540405,"No significativo"
"zgc:55262",138.367975311646,0.47143898393806,1.00852500858623,0.467453935127431,0.640175142112791,0.79333185758072,"zgc:55262",0.193701193442184,0.096850596721092,"No significativo"
"ddx21",8640.11916442613,1.83700107075467,0.279002579238374,6.58417236059017,4.57426232885195e-11,3.79832151049148e-09,"ddx21",10.33967893271,5.16983946635502,"Positivo"
"hspb8",6.81456128916928,-3.59285666475687,2.89141582970757,-1.24259424322244,0.214017392354903,0.404062687337649,"hspb8",0.669550931805784,0.334775465902892,"No significativo"
"hspb9",7.41814449514317,-0.0563598462947112,3.73237680555239,-0.015100256279288,0.987952196504483,1,"hspb9",0.00526406887044993,0.00263203443522496,"No significativo"
"arf2a",7729.73368087023,-1.90237531370942,0.268866051189684,-7.07555046571237,1.4885667582829e-12,1.76734658538237e-10,"arf2a",11.8272316836214,5.91361584181069,"Negativo"
"kxd1",468.73771729306,-0.262494423015431,0.320063163437102,-0.820133189325974,0.412140183716995,0.61031918890695,"kxd1",0.38495503964731,0.192477519823655,"No significativo"
"slc27a4",366.700435465929,0.205314449725196,0.404924708460882,0.507043520524088,0.612124282587344,0.773407878846156,"slc27a4",0.213160391968686,0.106580195984343,"No significativo"
"tmem167a",537.546392493783,-0.585571282934645,0.378289824967394,-1.54794351919224,0.121635895579356,0.275261970684932,"tmem167a",0.914938242895804,0.457469121447902,"No significativo"
"slc27a6",12.0131483469285,-7.987824273013,2.42672893264501,-3.29160136740393,0.000996187081035052,0.00671483672400868,"slc27a6",3.00165909467708,1.50082954733854,"Negativo"
"tspan18a",5011.91712923269,-0.92095037845447,0.335564170607491,-2.7444836461152,0.00606061741180894,0.0290373297942775,"tspan18a",2.21748313080348,1.10874156540174,"No significativo"
"kptn",188.184648455878,-1.95110157331988,1.03693641179953,-1.88160194889277,0.0598900814260407,0.163331100564469,"kptn",1.22264509645234,0.61132254822617,"No significativo"
"zgc:174646",7.8345793932051,-5.31701472167057,3.64769273393959,-1.45763777529805,0.144940411627911,0.311095539388483,"zgc:174646",0.838810509628224,0.419405254814112,"No significativo"
"ppp1r13l",136.161473189253,-0.596712197617124,0.707145759387047,-0.843831967732301,0.398763309097095,0.598167060692583,"ppp1r13l",0.399284808709762,0.199642404354881,"No significativo"
"fsd1l",474.039712333086,-1.15320134825926,0.563314571410866,-2.04717116649579,0.0406412814039662,0.122933626391241,"fsd1l",1.39103260737034,0.69551630368517,"Negativo"
"tmem267",133.844698045529,-0.816851026287664,1.37281577357452,-0.595018677677894,0.551830986087243,0.729184066844755,"tmem267",0.25819391692519,0.129096958462595,"No significativo"
"dlx2b",49.5647644168636,1.76007569859522,0.972519305395412,1.80981054960097,0.0703251713747686,0.184467285766956,"dlx2b",1.15288920083321,0.576444600416605,"No significativo"
"dlx2a",363.643549347464,0.417030457110966,0.529486934108963,0.787612366323557,0.430923479019393,0.626247887871631,"dlx2a",0.365599842577287,0.182799921288643,"No significativo"
"mrpl17",882.019348954684,-0.799685260874455,1.18395404216507,-0.675436066261563,0.499398757838804,0.686941308770291,"mrpl17",0.301552542209789,0.150776271104895,"No significativo"
"gnai2a",1826.90268866199,-0.19058481382663,0.250072980270805,-0.762116777351337,0.445990310364732,0.639728576810794,"gnai2a",0.350674576715754,0.175337288357877,"No significativo"
"gnai2b",2464.8797662184,-0.766323156425442,0.279049624818337,-2.7461895242623,0.00602919227033612,0.0289174760379162,"gnai2b",2.21974086630639,1.1098704331532,"No significativo"
